,Unnamed: 0,NUMBER,CONTRACT NAME,NAME,ADDRESS,POSITION,BANKING,BONUS,BIKE STANDS,AVAILABLE BIKE STANDS,AVAILABLE BIKES,STATUS,LAST UPDATE,DATES
767,89,35,dublin,SMITHFIELD,Smithfield,"{'lat': 53.347692, 'lng': -6.278214}",False,False,30,29,0,OPEN,1670519737000,2022-12-08 17:15:37
768,90,10,dublin,DAME STREET,Dame Street,"{'lat': 53.344007, 'lng': -6.266802}",True,False,16,5,11,OPEN,1670519643000,2022-12-08 17:14:03
769,91,100,dublin,HEUSTON BRIDGE (SOUTH),Heuston Bridge (South),"{'lat': 53.347106, 'lng': -6.292041}",False,False,25,1,24,OPEN,1670519922000,2022-12-08 17:18:42
770,92,24,dublin,CATHAL BRUGHA STREET,Cathal Brugha Street,"{'lat': 53.352149, 'lng': -6.260533}",False,False,20,5,15,OPEN,1670519919000,2022-12-08 17:18:39
771,93,64,dublin,SANDWITH STREET,Sandwith Street,"{'lat': 53.345203, 'lng': -6.247163}",False,False,40,29,11,OPEN,1670519853000,2022-12-08 17:17:33
772,94,109,dublin,BUCKINGHAM STREET LOWER,Buckingham Street Lower,"{'lat': 53.353331, 'lng': -6.249319}",False,False,29,20,9,OPEN,1670519405000,2022-12-08 17:10:05
773,95,85,dublin,ROTHE ABBEY,Rothe Abbey,"{'lat': 53.338776, 'lng': -6.30395}",False,False,35,35,0,OPEN,1670519654000,2022-12-08 17:14:14
774,96,107,dublin,CHARLEVILLE ROAD,Charleville Road,"{'lat': 53.359157, 'lng': -6.281866}",False,False,40,27,13,OPEN,1670519663000,2022-12-08 17:14:23
775,97,33,dublin,PRINCES STREET / O'CONNELL STREET,Princes Street / O'Connell Street,"{'lat': 53.349013, 'lng': -6.260311}",True,False,23,0,23,OPEN,1670519681000,2022-12-08 17:14:41
776,98,44,dublin,UPPER SHERRARD STREET,Upper Sherrard Street,"{'lat': 53.358437, 'lng': -6.260641}",False,False,30,22,8,OPEN,1670519620000,2022-12-08 17:13:40
777,99,89,dublin,FITZWILLIAM SQUARE EAST,Fitzwilliam Square East,"{'lat': 53.335211, 'lng': -6.2509}",False,False,40,38,2,OPEN,1670519679000,2022-12-08 17:14:39
778,100,57,dublin,GRATTAN STREET,Grattan Street,"{'lat': 53.339629, 'lng': -6.243778}",False,False,23,3,20,OPEN,1670519700000,2022-12-08 17:15:00
779,101,80,dublin,ST JAMES HOSPITAL (LUAS),St James Hospital (Luas),"{'lat': 53.341359, 'lng': -6.292951}",False,False,40,21,19,OPEN,1670519830000,2022-12-08 17:17:10
780,102,41,dublin,HARCOURT TERRACE,Harcourt Terrace,"{'lat': 53.332763, 'lng': -6.257942}",False,False,20,10,10,OPEN,1670519371000,2022-12-08 17:09:31
781,103,3,dublin,BOLTON STREET,Bolton Street,"{'lat': 53.351182, 'lng': -6.269859}",False,False,20,17,3,OPEN,1670519626000,2022-12-08 17:13:46
782,104,40,dublin,JERVIS STREET,Jervis Street,"{'lat': 53.3483, 'lng': -6.266651}",False,False,21,12,9,OPEN,1670519910000,2022-12-08 17:18:30
783,105,29,dublin,ORMOND QUAY UPPER,Ormond Quay Upper,"{'lat': 53.346057, 'lng': -6.268001}",False,False,29,11,18,OPEN,1670519726000,2022-12-08 17:15:26
784,106,103,dublin,GRANGEGORMAN LOWER (SOUTH),Grangegorman Lower (South),"{'lat': 53.354663, 'lng': -6.278681}",False,False,40,34,6,OPEN,1670519791000,2022-12-08 17:16:31
785,107,28,dublin,MOUNTJOY SQUARE WEST,Mountjoy Square West,"{'lat': 53.356299, 'lng': -6.258586}",False,False,30,22,8,OPEN,1670519720000,2022-12-08 17:15:20
786,108,39,dublin,WILTON TERRACE,Wilton Terrace,"{'lat': 53.332383, 'lng': -6.252717}",False,False,20,18,2,OPEN,1670519924000,2022-12-08 17:18:44
